,Rating,Review
0,4 stars: Great,"<p class=""review-content__text"">
                My new printer, an OfficeJet Pro 9025 makes me happy. I must admit that my old thoughts about HP products and support are now ones of the past.
            </p>"
1,1 star: Bad,"<p class=""review-content__text"">
                This company is the worse smh in order for them to answer a simple Like why are all my document are printing in black and white instead of color first. I have to pay $9.99 bc the warranty has ended. I will never purchase another item from HP
            </p>"
2,1 star: Bad,"<p class=""review-content__text"">
                The worst experience I have ever had with any computer company laptops, printers service are an absolute joke.
            </p>"
3,1 star: Bad,"<p class=""review-content__text"">
                Their services is inexistent !!!!!<br/><br/>I bought two ink cartridges and never received them.  They had shipped 18 days earlier (I was supposed to receive in 1 or 2 days) and the teaching shipping record was not moving.   It keeps calling them and indicated that the package has not left their store and was not reporting any progress.  I wrote to them 5 times and they keep saying that it will arrive at a certain point.  They never replaced them.  By reading the overall rating (1 star, 1200+ report) I am not alone.
            </p>"
4,1 star: Bad,"<p class=""review-content__text"">
                Highway robbery. What in the world. I paid for instant ink. Ink cartridge is faulty. This is not the first time so it is no coincidence believe me. I can't get a real person for support and they want to charge 19.99 to speak with someone. I am sadly disappointed in HP. I thought they were a reliable company but all I see is a lack of care, greed, and the runaround.  Now they have my $15 paid on May 2nd, the cartridge is no good,  I can't get a tech support, and a virtual agent is not helping but shoots out responses that were made with people may encounter. Don't blame it on COVID - COVID didn't stop you from taking money yet you can't supply service. What about your customers. Wake up HP, dishonest gain never lasts.
            </p>"
5,1 star: Bad,"<p class=""review-content__text"">
                In March, I ordered an HP Envy Desktop with several custom features, cost around $1,500.  Initially I was told 3-6 business days, then it became about 21 days, then 28 business days.  After numerous call to HP Support, I just learned that they are waiting for an unknown part to arrive from somewhere, that won't be received until sometime in June.  Maybe!!<br/><br/>What a company and what a poor effort at communications.  One would think that I would be contacted to see if I wanted to continue to wait for this part or perhaps change one of my features so the computer could be finished and shipped, but NO. Asked the support person, ""well, can you contact the factory and determine what the missing part is"" NO. ""can you contact the factory and determine if they truly expect the part in June"" NO. ""but if I knew which part was the issue, maybe I could change my specs""  NO.<br/><br/>Overall, a huge disappointment and I certainly could not recommend them.  Probably going to cancel order and get refund and hope for the best with someone that actually cares about customer service.
            </p>"
6,3 stars: Average,"<p class=""review-content__text"">
                The laptops always seem to have issues. On the other hand I have terrible luck with laptops. I've had 2 arrive faulty (from other companies).<br/><br/>Getting in touch can be quite difficult sometimes. I purchased my laptop at currys and they kept saying on the website that if I bought from currys or dixons that my warranty is with teamknowhow, and that the factory one does not apply which..isn't true? I've never had any evidence of this at all and my laptop came with a factory warranty. Because it's registered as purchased at Currys I kept hitting a wall trying to get help with my severely broken laptop. It wouldn't let me get through to customer service because they knew it was bought at Currys! <br/><br/>A huge piece of metal somehow just came out of the laptop, it was sticking out at all times, very heavy. I don't know where it came from and there was no way of pushing it..back inside or ...anything like that. It was immovable. Utterly bizarre issue I've never encountered haha.<br/>On top of that eventually the screen started to crack and crumble! It wasn't dropped, it was spontaneous and I have no clue how that piece of metal physically was sticking out the laptop, there's no giant hole for it.<br/><br/>It was within factory warranty and I contacted HP via facebook if I recall but I was extremely doubtful they'd help me. I thought they would just say I broke it and frankly, I don't know how I would have been physically capable of getting that piece of metal but I know a lot of CS places will do anything to not help you.<br/><br/>That being said, I sent a few pictures, explained the above and HP happily collected my laptop. I was very worried that they would hold my laptop and tell me I need to pay a fortune to get it fixed but they actually fixed it free of charge! It was only gone for 5 days in total!<br/><br/>This is not the first time I have had problems with an HP laptop. My first one the solid state drive was screwed up or something. Was a few years ago so I'm foggy on the specifics. The laptop went incredibly slow and you practically couldn't use it. I had nothing but your standard protective software on it so it was not overloaded with installs. Really only used it for internet. Cleared the cache, removed unnecessary preinstalls. Still, the memory was at almost full use! I had to fight them a little on getting a repair for it but they did free of charge despite being JUST out of warranty. Collected, repaired and returned within about 2 weeks.<br/><br/>Overall, the products are..not the best for me..but I do have bad luck with laptops, can't lie. Out of all laptops I've had HP have been the best customer service wise. <br/>Trying to get through to CS was a bloody nightmare for me with my current laptop being from Currys but when I did get hold of them eventually, they sorted out my issue fantastically and within a very good time frame. <br/><br/>Also have an HP printer that had a couple of issues and HP support took me through sorting the issues out step by step.
            </p>"
7,1 star: Bad,"<p class=""review-content__text"">
                The horrible laptop I have ever used. I bought a personal laptop for $1100, a horrible experience. My employer gave me EliteBook again waste of money and energy. So many problems with audio, Bluetooth drivers. <br/><br/>DO not BUY HP laptops.
            </p>"
8,1 star: Bad,"<p class=""review-content__text"">
                My laptop (which arrived months late) stopped working after about 6 weeks. I reported the fault 2 weeks ago and they have still got got back to me.
            </p>"
9,1 star: Bad,"<p class=""review-content__text"">
                The worst customer service I have had the displeasure of dealing with. My printers ink cartridges aren't working and I have been trying to get them replaced through the warranty for a month. Every time i contact them and speak to someone we somehow lose connection then 5 minutes later I get a email saying my case is closed. I am so sick of going through this with them. I have to keep explaining the damn issue over and over again with no solution. I will never purchase an HP product again.
            </p>"
10,1 star: Bad,"<p class=""review-content__text"">
                This is absolutely terrible. I purchased a brand new laptop a few months ago, and all it has done is give me problems. It is the slowest computer I have ever used. It would make you think that you’re using a computer from 2011. I have used less than 10% of storage, and have taken good care of it, yet it gets slower and slower every day. The customer service is terrible when you try to get help, and the solutions online do not work. Do not buy an HP.
            </p>"
11,1 star: Bad,"<p class=""review-content__text"">
                I am NEVER buying an HP again. They use to be good but now they are total pieces of junk and their customer services is HORRIBLE. My next computer will be a different brand. I've only had HP's for the past 20 years, but I just can't use their junk any more. My last computer was so horrible that I sent it in to be fixed multiple times and they couldn't fix it. It would keep turning itself off. The last time they had it for a month and it was still not being fix so they finally decided to give me store credit even though I only had possession of the computer for a few months, the rest of the time they had it and were working on fixing it. To get them to even accept taking it back to ""fix"" it was days of arguing with them after I had done some factory resets. Then instead of giving me a new computer they only gave me a refund that I had to use in their store. Now the computer I have is also a piece of crap, but I have given up on HP completely so I haven't tried to get it fixed after all the fighting I had to do with the last one. This is my third computer in a row that has been horrible. I am NEVER buying another HP product again. When this computer is dead and I have to shell out more money it will be going somewhere else.
            </p>"
